Posted Date,Reference Number,Payee,Address,Amount
04/04/2022,24430992092828336247987,"APPLE.COM/BILL 408-974-1010 CA","408-974-1010  CA ",-32.94
03/31/2022,09083204320033100050098,"PAYMENT - THANK YOU","",204.73
03/30/2022,24943002088700436471862,"STATE FARM INSURANCE 800-956-6310 IL","800-956-6310  IL ",-109.78
03/22/2022,24692162080100598043281,"NINTENDO *AMERICAUS 800-255-3700 WA","800-255-3700  WA ",-21.19
03/21/2022,24204292078003674144942,"Netflix.com 408-5403700 CA","408-5403700   CA ",-15.49
03/17/2022,24692162075100603278671,"SPECTRUM 855-707-7328 MO","855-707-7328  MO ",-49.99
03/14/2022,24692162072100206772669,"SPRINT *WIRELESS 800-639-6111 KS","800-639-6111  KS ",-47.96
03/09/2022,24692162067100738361368,"Audible*1Z4WH8AO1 Amzn.com/billNJ","Amzn.com/bill NJ ",-16.02
03/09/2022,24430992067828350157816,"APPLE.COM/BILL 408-974-1010 CA","408-974-1010  CA ",-2.99
03/09/2022,24430992067828302094455,"APPLE.COM/BILL 408-974-1010 CA","408-974-1010  CA ",-2.11
03/08/2022,24247602066300557991230,"MSP PLUMBING HEATING AIR SAINT PAUL MN","SAINT PAUL    MN ",-8.25
03/07/2022,24204292066001616275851,"Dropbox M44BCWMCF5S5 141-58576933 CA","141-58576933  CA ",-11.99
