Posted Date,Reference Number,Payee,Address,Amount
05/03/2022,24430992122828351594697,"APPLE.COM/BILL 408-974-1010 CA","408-974-1010  CA ",-32.94
04/30/2022,24943002119700413040857,"STATE FARM INSURANCE 800-956-6310 IL","800-956-6310  IL ",-115.18
04/26/2022,24492152115713282288004,"ULTIMATE GUITAR USA LLC 415-599-4620 CA","415-599-4620  CA ",-24.99
04/20/2022,24692162109100211091185,"AMZN Mktp US*1O94Z77H1 Amzn.com/billWA","Amzn.com/bill WA ",-50.42
04/20/2022,24204292109285454265855,"Netflix.com 408-5403700 CA","408-5403700   CA ",-15.49
04/19/2022,24692162109100905774377,"Amazon Prime*1A3AS0I40 Amzn.com/billWA","Amzn.com/bill WA ",-2.13
04/18/2022,24692162106100739321174,"SPECTRUM 855-707-7328 MO","855-707-7328  MO ",-49.99
04/16/2022,10606005720006130368303,"Online payment from CHK 5776","",318.71
04/13/2022,24692162102100347271070,"SPRINT *WIRELESS 800-639-6111 KS","800-639-6111  KS ",-48.91
04/08/2022,24692162098100053360378,"APPLE.COM/BILL 866-712-7753 CA","866-712-7753  CA ",-2.11
04/08/2022,24692162098100053356574,"APPLE.COM/BILL 866-712-7753 CA","866-712-7753  CA ",-2.99
04/08/2022,24247602097300582610220,"MSP PLUMBING HEATING AIR 651-228-9200 MN","651-228-9200  MN ",-8.25
04/07/2022,24204292097001446105859,"Dropbox H6MDR6JCTV1Z 141-58576933 CA","141-58576933  CA ",-11.99
