Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
05/28/2022,TARGET              APPLE VALLEY        MN,29.04,"001780756   612-3044357
TARGET
APPLE VALLEY
MN
Description : SEE INVOICE Price : 0.2904
612-3044357",TARGET              APPLE VALLEY        MN,15150 CEDAR AVE,"SAINT PAUL
MN",55124-7038,UNITED STATES,'320221490000598421',Merchandise & Supplies-Wholesale Stores
05/27/2022,COLD STONE          APPLE VALLEY        MN,14.00,"185         612-741-6912
COLD STONE
APPLE VALLEY
MN
Description : FAST FOOD RESTAURAN Price : 0.00
612-741-6912",COLD STONE          APPLE VALLEY        MN,15100 CEDAR AVE STE 202,"SAINT PAUL
MN",55124,UNITED STATES,'320221480972241936',Restaurant-Bar & Café
05/25/2022,CHICK-FIL-A #03158 0APPLE VALLEY        MN,10.17,"000320143   9524314445
CHICK-FIL-A #03158 000000000563800
APPLE VALLEY
MN
9524314445",CHICK-FIL-A #03158 0APPLE VALLEY        MN,7480 153RD ST W,"SAINT PAUL
MN",55124,UNITED STATES,'320221460940524247',Restaurant-Bar & Café
05/25/2022,PETCO 612     506125APPLE VALLEY        MN,58.91,"000012313   000-0000000
PETCO 612     506125 73063506125
APPLE VALLEY
MN
Description : MERCHANDISE Price : 0.5891
000-0000000",PETCO 612     506125APPLE VALLEY        MN,"7590 W. 150TH ST.
-","APPLE VALLEY
MN",55124,UNITED STATES,'320221460942924307',Merchandise & Supplies-General Retail
05/23/2022,"JNC CONSULTING, LLC Arlington           MA",225.00,"J4EFgYcvLBQ squareup.com/receipts
JNC CONSULTING, LLC
Arlington
MA
squareup.com/receipts","JNC CONSULTING, LLC Arlington           MA",1337 MASSACHUSETTS AVE,"ARLINGTON
MA",02476,UNITED STATES OF AMERICA (THE),'320221430882633853',Business Services-Conferences & Training
05/23/2022,TARGET              APPLE VALLEY        MN,6.99,"001781040   612-3044357
TARGET
APPLE VALLEY
MN
Description : SEE INVOICE Price : 0.0699
612-3044357",TARGET              APPLE VALLEY        MN,15150 CEDAR AVE,"SAINT PAUL
MN",55124-7038,UNITED STATES,'320221430863011526',Merchandise & Supplies-Wholesale Stores
05/23/2022,TARGET              APPLE VALLEY        MN,11.36,"001581324   612-3044357
TARGET
APPLE VALLEY
MN
Description : SEE INVOICE Price : 0.1136
612-3044357",TARGET              APPLE VALLEY        MN,15150 CEDAR AVE,"SAINT PAUL
MN",55124-7038,UNITED STATES,'320221430862033541',Merchandise & Supplies-Wholesale Stores
05/22/2022,RED LOBSTER 0281 281BURNSVILLE          MN,57.65,"48672       952-435-2552
RED LOBSTER 0281 281
BURNSVILLE
MN
Description : AMEXCHARGE Price : 0.00
952-435-2552",RED LOBSTER 0281 281BURNSVILLE          MN,1301 COUNTY ROAD 42 E,"BURNSVILLE
MN",55306-4720,UNITED STATES,'320221430866975146',Restaurant-Restaurant
05/21/2022,=LEGENDARYSPICE     612-379-1983        MN,122.98,"85180892142 612-379-1983
=LEGENDARYSPICE
612-379-1983
MN",=LEGENDARYSPICE     612-379-1983        MN,"317 SOUTH EAST HURON BLVD
UNIT A","MINNEAPOLIS
MN",55414-4124,,'320221430879016924',Restaurant-Restaurant
05/15/2022,MOBILE PAYMENT - THANK YOU,-1500.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320221350691351271',
05/15/2022,MOBILE PAYMENT - THANK YOU,-750.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320221350691360231',
05/13/2022,AplPay UNICEF USA   NEW YORK            NY,20.00,"NT_LGOUX9PA +18003675437
AplPay UNICEF USA
NEW YORK
NY
+18003675437",AplPay UNICEF USA   NEW YORK            NY,125 MAIDEN LANE,"NEW YORK
NY",10038,UNITED STATES OF AMERICA (THE),'320221330650797369',Other-Charities
05/12/2022,AplPay CHIPOTLE ONLINEWPORT BEACH       CA,10.87,"1739       1739             92660
FAST FOOD RESTAURANT
AplPay CHIPOTLE ONLINE
NEWPORT BEACH
CA
FAST FOOD RESTAURANT
1739             92660",AplPay CHIPOTLE ONLINEWPORT BEACH       CA,"1401 WYNKOOP ST
STE 500","DENVER
CO",80202,UNITED STATES,'320221320638905244',Restaurant-Bar & Café
05/09/2022,"JNC CONSULTING, LLC Arlington           MA",225.00,"p4SiJgcrRiZ squareup.com/receipts
JNC CONSULTING, LLC
Arlington
MA
squareup.com/receipts","JNC CONSULTING, LLC Arlington           MA",1337 MASSACHUSETTS AVE,"ARLINGTON
MA",02476,UNITED STATES OF AMERICA (THE),'320221290581480348',Business Services-Conferences & Training
05/09/2022,WEGREENED VISA FEE  ANN ARBOR           MI,428.40,"NT_LEW5CPD2 +18886660969
WEGREENED VISA FEE
ANN ARBOR
MI
+18886660969",WEGREENED VISA FEE  ANN ARBOR           MI,2723 SOUTH STATE STREET,"ANN ARBOR
MI",48104,UNITED STATES OF AMERICA (THE),'320221290564416620',Business Services-Legal Services
05/08/2022,CHATIME MALL OF AMERBloomington         MN,13.23,"tQV0kerSoFI squareup.com/receipts
CHATIME MALL OF AMERICA (LEVEL 1)
Bloomington
MN
squareup.com/receipts",CHATIME MALL OF AMERBloomington         MN,60 E BROADWAY,"BLOOMINGTON
MN",55425,UNITED STATES OF AMERICA (THE),'320221280544297968',Restaurant-Bar & Café
05/05/2022,CVS/PHARMACY #00663 APPLE VALLEY        MN,103.00,"10060200    8007467287
CVS/PHARMACY #00663 000000663
APPLE VALLEY
MN
Description : PHARMACIES Price : 1.03
8007467287",CVS/PHARMACY #00663 APPLE VALLEY        MN,15051 GALAXIE AVE,"SAINT PAUL
MN",55124-6987,UNITED STATES,'320221260505497831',Merchandise & Supplies-Pharmacies
05/04/2022,GOOGLE*GOOGLE STORAG G.CO HELPPAY#,1.99,"A6854909344 COMPUTER PROGRAMMING
GOOGLE*GOOGLE STORAGE GOOGLE PAYMENT
G.CO HELPPAY#
COMPUTER PROGRAMMING",GOOGLE*GOOGLE STORAG G.CO HELPPAY#,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320221260514740131',Business Services-Internet Services
05/04/2022,LYFT.COM/CHARGES 000SAN FRANCISCO       CA,46.83,"01ZxxNCv9pO 855-865-9553
LYFT.COM/CHARGES 0000
SAN FRANCISCO
CA
Description : CHARTER SERVICE Price : 0.00
855-865-9553",LYFT.COM/CHARGES 000SAN FRANCISCO       CA,185 BERRY STREET #5000,"SAN FRANCISCO
CA",94107,UNITED STATES OF AMERICA (THE),'320221250489875621',Transportation-Taxis & Coach
05/03/2022,CUB FOODS #30164 000APPLE VALLEY        MN,61.03,"000472092   9524326300
CUB FOODS #30164 000000000061798
APPLE VALLEY
MN
9524326300",CUB FOODS #30164 000APPLE VALLEY        MN,15350 CEDAR AVE,"SAINT PAUL
MN",55124,UNITED STATES,'320221240468293554',Merchandise & Supplies-Groceries
05/03/2022,LA QUINTA ORLANDO AIORLANDO             FL,11.72,"00883432    407-240-5000
LODGING
LA QUINTA ORLANDO AIRPORT NORT LA QUIN
ORLANDO
FL
From : 05/01/22
To : 05/03/22
LODGING
407-240-5000",LA QUINTA ORLANDO AIORLANDO             FL,7160 N FRONTAGE RD,"ORLANDO
FL",32812,UNITED STATES OF AMERICA (THE),'320221230442474888',Travel-Lodging
05/03/2022,LONGHORN STEAK 01253ORLANDO             FL,59.39,"48825       407-438-2082
LONGHORN STEAK 0125359 0000
ORLANDO
FL
Description : FOOD/BEVERAGE Price : 0.00
407-438-2082",LONGHORN STEAK 01253ORLANDO             FL,"5449 GATEWAY VILLAGE CIR
-","ORLANDO
FL",32812-4004,UNITED STATES,'320221230452445535',Restaurant-Restaurant
05/03/2022,SUNGAS              ORLANDO             FL,63.21,"00660706    407-826-1662
SUNGAS
ORLANDO
FL
Description : GAS/SERVICES Price : 0.00
407-826-1662",SUNGAS              ORLANDO             FL,5600 BUTLER NATIONAL DR,"ORLANDO
FL",32812,UNITED STATES,'320221240471882891',Transportation-Fuel
05/02/2022,GODADDY.COM         480-505-8855        AZ,22.16,"2104913523 GODADDY.COM
.COM Domain Name Registration - 1 Year (
Full Domain Protection
GODADDY.COM
480-505-8855
AZ
.COM Domain Name Registration - 1 Year (
Full Domain Protection
GODADDY.COM",GODADDY.COM         480-505-8855        AZ,14455 N HAYDEN RD,"SCOTTSDALE
AZ",85260-6993,UNITED STATES,'320221230443568915',Other-Miscellaneous
05/02/2022,ZOOM.US 888-799-9666SAN JOSE            CA,16.06,"NT_LCGH8FSG +18887999666
ZOOM.US 888-799-9666
SAN JOSE
CA
+18887999666",ZOOM.US 888-799-9666SAN JOSE            CA,55 ALMADEN BLVD,"SAN JOSE
CA",95113,UNITED STATES OF AMERICA (THE),'320221220413903260',Other-Miscellaneous
05/01/2022,EXPEDIA 722965008202EXPEDIA.COM         WA,290.24,"FPJ5GRW2Y  0                32812
ZHONGHUA OUYANG
LA QUINTA INN & SUITES BY WYNDHAM ORLAND
EXPEDIA 72296500820200
EXPEDIA.COM
WA
ZHONGHUA OUYANG
LA QUINTA INN & SUITES BY WYNDHAM ORLAND
0                32812",EXPEDIA 722965008202EXPEDIA.COM         WA,333 108TH AVE NE,"BELLEVUE
WA",98004,UNITED STATES,'320221220422463740',Travel-Travel Agencies
04/30/2022,AIRBNB * HMJWQ4SMPZ SAN FRANCISCO       CA,63.31,"5J0DN6JE    4158005959
AIRBNB * HMJWQ4SMPZ
SAN FRANCISCO
CA
4158005959",AIRBNB * HMJWQ4SMPZ SAN FRANCISCO       CA,"888 BRANNAN ST
-","SAN FRANCISCO
CA",94103-4932,UNITED STATES,'320221200383895724',Travel-Travel Agencies
04/29/2022,MIAMIBCH PARKING METMIAMI BEACH         FL,7.00,"01700006    305-673-7000
MIAMIBCH PARKING METER 0000
MIAMI BEACH
FL
Description : PARKING FEES Price : 0.00
305-673-7000",MIAMIBCH PARKING METMIAMI BEACH         FL,1700 CONVENTION CENTER DR,"MIAMI BEACH
FL",33139-1824,UNITED STATES,'320221200381193730',Other-Government Services
04/28/2022,AplPay MCDONALD'S F6HIALEAH             FL,5.87,"000020647   3058279070
AplPay MCDONALD'S F6477 000000000608505
HIALEAH
FL
3058279070",AplPay MCDONALD'S F6HIALEAH             FL,4300 E 4TH AVE,"HIALEAH
FL",33012,UNITED STATES OF AMERICA (THE),'320221190362351148',Restaurant-Bar & Café
04/28/2022,KANTINA 146960001024MIAMI BEACH         FL,75.24,"74760622120 305-674-9906
KANTINA 146960001024609
MIAMI BEACH
FL
305-674-9906",KANTINA 146960001024MIAMI BEACH         FL,834 OCEAN DR,"MIAMI BEACH
FL",33139,UNITED STATES,'320221200380939718',Restaurant-Restaurant
04/28/2022,LYFT.COM/CHARGES 000SAN FRANCISCO       CA,3.00,"01ZnELBXwsN 855-865-9553
LYFT.COM/CHARGES 0000
SAN FRANCISCO
CA
Description : CHARTER SERVICE Price : 0.00
855-865-9553",LYFT.COM/CHARGES 000SAN FRANCISCO       CA,185 BERRY STREET #5000,"SAN FRANCISCO
CA",94107,UNITED STATES OF AMERICA (THE),'320221190360226653',Transportation-Taxis & Coach
04/28/2022,LYFT.COM/CHARGES 000SAN FRANCISCO       CA,24.88,"01ZnJbsxLeM 855-865-9553
LYFT.COM/CHARGES 0000
SAN FRANCISCO
CA
Description : CHARTER SERVICE Price : 0.00
855-865-9553",LYFT.COM/CHARGES 000SAN FRANCISCO       CA,185 BERRY STREET #5000,"SAN FRANCISCO
CA",94107,UNITED STATES OF AMERICA (THE),'320221190359676202',Transportation-Taxis & Coach
04/28/2022,MB-PARKING PARKMOBILMIAMI BEACH         FL,8.35,"587313784   305-673-7000
MB-PARKING PARKMOBILE 0000
MIAMI BEACH
FL
Description : PARKING FEES Price : 0.00
305-673-7000",MB-PARKING PARKMOBILMIAMI BEACH         FL,"1700 CONVENTION CENTER DR
ONLINE PARKING METER PAY","MIAMI BEACH
FL",33139,UNITED STATES,'320221190357351594',Other-Government Services
